gene	variable	value	scale	sqrt	log2	log10	Type
nirK	I2	NA	NA	NA	NA	NA	Pre
narG	I2	1	-0.64695595	1	0	0	Pre
napA	I2	32	1.37725151	5.656854	5	1.50515	Pre
nasA	I2	9	-0.12457983	3	3.169925	0.9542425	Pre
hzo	I2	NA	NA	NA	NA	NA	Pre
nrfA	I2	5	-0.38576789	2.236068	2.321928	0.69897	Pre
ureABC	I2	21	0.65898435	4.582576	4.392317	1.3222193	Pre
nifD	I3	NA	NA	NA	NA	NA	Pre
nifH	I3	3	-0.51636192	1.732051	1.584963	0.4771213	Pre
nifK	I3	NA	NA	NA	NA	NA	Pre
nosZ	I3	8	-0.18987685	2.828427	3	0.90309	Pre
norB	I3	1	-0.64695595	1	0	0	Pre
nirS	I3	NA	NA	NA	NA	NA	Pre
nirK	I3	1	-0.64695595	1	0	0	Pre
narG	I3	4	-0.4510649	2	2	0.60206	Pre
napA	I3	60	3.20556792	7.745967	5.906891	1.7781513	Pre
nasA	I3	10	-0.05928282	3.162278	3.321928	1	Pre
hzo	I3	NA	NA	NA	NA	NA	Pre
nrfA	I3	7	-0.25517386	2.645751	2.807355	0.845098	Pre
ureABC	I3	54	2.81378583	7.348469	5.754888	1.7323938	Pre
nifD	I4	2	-0.58165893	1.414214	1	0.30103	Pre
nifH	I4	5	-0.38576789	2.236068	2.321928	0.69897	Pre
nifK	I4	2	-0.58165893	1.414214	1	0.30103	Pre
nosZ	I4	10	-0.05928282	3.162278	3.321928	1	Pre
norB	I4	4	-0.4510649	2	2	0.60206	Pre
nirS	I4	2	-0.58165893	1.414214	1	0.30103	Pre
nirK	I4	1	-0.64695595	1	0	0	Pre
narG	I4	1	-0.64695595	1	0	0	Pre
napA	I4	34	1.50784554	5.830952	5.087463	1.5314789	Pre
nasA	I4	7	-0.25517386	2.645751	2.807355	0.845098	Pre
hzo	I4	NA	NA	NA	NA	NA	Pre
nrfA	I4	5	-0.38576789	2.236068	2.321928	0.69897	Pre
ureABC	I4	47	2.35670673	6.855655	5.554589	1.6720979	Pre
